Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-01-02,1077.63,1083.65,1077.29,1083.65,1239885
2018-01-03,1083.63,1089.37,1082.05,1086.75,1369623
2018-01-04,1087.45,1105.13,1087.45,1105.13,3788057
2018-01-05,1105.13,1108.07,1099.99,1105.32,1521151
2018-01-08,1105.52,1110.93,1105.52,1108.92,2052301
2018-01-09,1109.12,1109.53,1102.18,1104.48,2460779
2018-01-10,1104.68,1105.83,1098.43,1101.73,2331026
2018-01-11,1102.2,1107.7,1100.38,1107.68,2796440
2018-01-12,1108.54,1111.33,1107.4,1108.81,2173893
2018-01-15,1111.41,1111.86,1105.35,1109.09,1360441
2018-01-16,1107.76,1114.92,1107.74,1114.92,1814863
2018-01-17,1114.83,1115.63,1110.62,1115.63,1748692
2018-01-18,1115.66,1119.05,1112.47,1119.05,2264406
2018-01-19,1119.06,1123.66,1118.03,1123.62,1541864
2018-01-22,1123.62,1133.53,1123.62,1132.8,2042877
2018-01-23,1133.62,1137.93,1131.86,1137.06,3628423
2018-01-24,1137.3,1138.76,1133.72,1138.57,2144992
2018-01-25,1138.57,1139.04,1127.15,1133.76,1569826
2018-01-26,1134.16,1134.53,1129.94,1131.96,1120356
2018-01-29,1131.49,1133.15,1125.42,1131.23,1217516
2018-01-30,1131.3,1131.73,1126.1,1127.39,1422423
2018-01-31,1127.39,1131.77,1126.25,1130.91,1246022
2018-02-01,1131.17,1141.34,1131.17,1140.01,1905881
2018-02-02,1139.9,1140.25,1127.64,1129.1,1413991
2018-02-05,1129.33,1129.33,1117.49,1122.3,1782542
2018-02-06,1122.3,1122.3,1093.69,1098.6,4218267
2018-02-07,1098.81,1118.67,1098.81,1116.66,5160961
2018-02-08,1116.78,1125.42,1116,1117.32,3560430
2018-02-09,1113.86,1113.86,1098.87,1106.06,3531969
2018-02-12,1105.99,1117.48,1105.7,1110.49,1277847
2018-02-13,1110.96,1115.56,1108.77,1111.77,1380300
2018-02-14,1111.77,1115.07,1107.47,1109.63,1804782
2018-02-15,1113.08,1116.62,1110.68,1111.87,2330729
2018-02-16,1111.49,1116.87,1110.34,1112.34,1338677
2018-02-19,1112.92,1115.59,1106.3,1110.21,2279843
2018-02-20,1110.32,1110.32,1102.88,1106.14,1924214
2018-02-21,1106.61,1111.21,1103.31,1111.21,1905041
2018-02-22,1111.13,1111.73,1107.53,1108.3,2481643
2018-02-23,1109.47,1110.87,1104.24,1104.96,2083313
2018-02-26,1105.09,1110.22,1101.47,1101.47,1531752
2018-02-27,1103.04,1111.47,1102.16,1111.12,2075435
2018-02-28,1111.1,1121.43,1111.1,1120.47,3726087
2018-03-01,1121.05,1124.1,1113.81,1117.73,2757298
2018-03-02,1118.37,1119.17,1104.86,1106.02,2919560
2018-03-05,1105.98,1120.43,1104.96,1113.16,2135765
2018-03-06,1113.85,1126.52,1113.85,1120.96,2759140
2018-03-07,1120.87,1121.58,1112.87,1112.98,1992836
2018-03-08,1113.41,1121.86,1112.72,1118.17,2150090
2018-03-09,1118.17,1123.91,1113.5,1123.6,1792620
2018-03-12,1123.8,1132.59,1123.31,1128.13,1205965
2018-03-13,1128.19,1132.87,1122.91,1124.41,4058165
2018-03-14,1123.94,1126.67,1116.69,1116.69,2658137
2018-03-15,1116.61,1119.85,1114.51,1115.36,1398326
2018-03-16,1115.4,1120.94,1115.4,1118.52,3739537
2018-03-19,1119.62,1122.9,1116.44,1116.69,1628312
2018-03-20,1119.12,1123.63,1119.12,1120.78,2801606
2018-03-21,1120.84,1128.36,1120.56,1126.46,2019432
2018-03-22,1126.6,1130.89,1117.65,1118.73,1394945
2018-03-23,1118.61,1118.61,1105.04,1107.72,1938208
2018-03-26,1108.21,1116.86,1107.96,1110.4,1108869
2018-03-27,1110.4,1119.78,1110.26,1115.06,2513868
2018-03-28,1115.06,1119.89,1109.25,1119.05,1590366
2018-03-29,1119.64,1124.89,1119.34,1123.89,1760930
2018-04-03,1124.34,1124.34,1116.23,1116.66,1843098
2018-04-04,1117.39,1121.37,1110.7,1111.86,1742426
2018-04-05,1113.44,1130.23,1113.32,1130.23,1350193
2018-04-06,1129.84,1130.93,1127.13,1128.82,1340739
2018-04-09,1128.31,1133.8,1125.55,1125.55,1880334
2018-04-10,1125.55,1129.26,1125.02,1125.02,3785102
2018-04-11,1125.02,1131.59,1123,1124.03,1515422
2018-04-12,1124.32,1133.9,1124.32,1131.78,1930648
2018-04-13,1132.99,1140.52,1132.49,1134.27,2007294
2018-04-16,1134.61,1140.33,1132.64,1136.6,1550883
2018-04-17,1137.04,1140.41,1127.58,1130.34,2018245
2018-04-18,1130.34,1131.05,1124.53,1128.98,2773654
2018-04-19,1129.05,1129.61,1125.8,1128.1,2329139
2018-04-20,1128.33,1129.33,1120.08,1121.26,1709571
2018-04-23,1121.87,1123.36,1118.6,1121.47,1794972
2018-04-24,1121.89,1128.36,1121.89,1127.53,2244772
2018-04-25,1127.53,1127.53,1119.33,1121.67,1755157
2018-04-26,1122.77,1126.35,1120.22,1124.64,2963508
2018-04-27,1124.28,1129.09,1122.25,1124.16,3932937
2018-04-30,1124.6,1128.83,1113.76,1115.93,2340581
2018-05-02,1116.22,1123.72,1116.09,1116.87,1934471
2018-05-03,1117,1118.37,1111.59,1113.35,2046770
2018-05-04,1111.58,1112.85,1096.8,1097.18,2349097
2018-05-07,1097.36,1109.65,1097.36,1109.04,1221733
2018-05-09,1107.49,1109.5,1093.01,1093.01,3294206
2018-05-10,1093.22,1101.53,1093.13,1096.38,2344483
2018-05-11,1097.04,1107.12,1095.25,1107.12,1743479
2018-05-14,1107.21,1109.62,1102.78,1104.33,661968
2018-05-15,1104.72,1109.25,1104.25,1106.3,1749285
2018-05-16,1106.55,1108.94,1103.11,1106.06,929386
2018-05-17,1105.7,1114.25,1104.85,1107.39,1455783
2018-05-18,1107.42,1109.16,1104.09,1104.56,1231826
2018-05-21,1104.93,1108.08,1102.15,1102.15,616686
2018-05-22,1102.15,1107.87,1102.15,1103.29,1348248
2018-05-23,1103.55,1106.47,1099.47,1099.54,1798324
2018-05-24,1100.88,1112.36,1100.88,1103.42,1492786
2018-05-25,1103.55,1108.6,1085.92,1087.5,3127333
2018-05-28,1087.92,1096.22,1085.34,1088.8,1117881
2018-05-29,1088.8,1088.93,1069.29,1073.4,2732619
2018-05-30,1073.4,1080.29,1071.9,1079.66,2889210
2018-05-31,1080.32,1087.53,1076.1,1076.1,6581905
2018-06-01,1076.66,1084.16,1076.53,1081.04,1129883
2018-06-04,1081.12,1085.14,1078.78,1080,1932366
2018-06-05,1079.6,1081.15,1071.52,1073.24,1692458
2018-06-06,1073.33,1074.86,1070.78,1073.27,901830
2018-06-07,1074,1081.87,1074,1078.38,1065650
2018-06-08,1078.76,1080.04,1075.75,1077.37,1162558
2018-06-11,1077.07,1082.79,1077.07,1077.28,851730
2018-06-12,1077.28,1084.81,1077.28,1078.94,1101815
2018-06-13,1079.02,1082.02,1076.87,1082.02,1399080
2018-06-14,1082.02,1082.92,1074.52,1075.38,1276658
2018-06-15,1075.66,1079.37,1074.64,1077.88,4124560
2018-06-18,1079.25,1080.15,1069.4,1069.4,1000888
2018-06-19,1069.61,1070.15,1065.92,1068.21,1761979
2018-06-20,1068.11,1077.66,1068.11,1070.03,3061390
2018-06-21,1070.03,1073.57,1064.44,1064.44,1592497
2018-06-22,1065.45,1069.46,1062.54,1064.12,1734739
2018-06-25,1064.15,1070.53,1064.15,1066.4,2299884
2018-06-26,1066.34,1068.33,1061.49,1061.49,2004587
2018-06-27,1061.27,1065.2,1043.18,1051.72,1590974
2018-06-28,1051.72,1056.95,1049.96,1051.85,1754820
2018-06-29,1051.82,1064.99,1051.82,1064.2,2393189
2018-07-02,1064.52,1070.88,1057.5,1070.5,2562880
2018-07-03,1070.58,1078.15,1070.37,1076.02,1708861
2018-07-04,1076.02,1077.56,1070.02,1077.56,1419536
2018-07-09,1080.92,1081.21,1077.47,1080.93,2313214
2018-07-10,1081.71,1092.19,1079.91,1088.89,2818724
